載具自訂名稱,發票日期,發票號碼,發票金額,發票狀態,折讓,賣方統一編號,賣方名稱,賣方地址,買方統編,消費明細_數量,消費明細_單價,消費明細_金額,消費明細_品名
手機條碼,20260831,DU95918726,150,開立已確認,否,00633846,誠心商行,臺北市內湖區江南街95號1樓,,1,150,150,醬油豚骨拉麵
手機條碼,20260831,DU95918726,150,開立已確認,否,00633846,誠心商行,臺北市內湖區江南街95號1樓,,1,150,150,月見醬油豚骨拉麵
手機條碼,20260831,DA17103230,33,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,33,33,美式原味熱狗
手機條碼,20260831,DA17103230,0,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,0,0,熱狗/包子/玉米7折出清
手機條碼,20260831,DA17103230,12,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,12,12,大亨堡夾心麵包
手機條碼,20260831,DA17103230,-10,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,-10,-10,自助區7折出清*1H9F*
手機條碼,20260831,DA17100255,30,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,30,30,阿華田營養麥芽牛奶飲CAN340
手機條碼,20260831,DA17100255,55,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,55,55,★新極上飯糰-鮭魚鮭魚卵
手機條碼,20260831,DA17100255,-10,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,-10,-10,8/19-9/29超值組合75元*2CD4*
手機條碼,20260830,DG20703811,380,開立已確認,否,82278670,馬林國際事業股份有限公司淡水店,新北市淡水區中山路８號４、５樓,,1,380,380,鮮鮭丼
手機條碼,20260830,DG20703811,80,開立已確認,否,82278670,馬林國際事業股份有限公司淡水店,新北市淡水區中山路８號４、５樓,,1,80,80,換 土瓶蒸
手機條碼,20260830,DG20703811,46,開立已確認,否,82278670,馬林國際事業股份有限公司淡水店,新北市淡水區中山路８號４、５樓,,1,46,46,Service Charge
手機條碼,20260830,DC01914609,92,開立已確認,否,12856156,全宏事業有限公司,臺北市士林區名山里至善路２段１０１號,,3.02,30.5,92,九二無鉛汽油
手機條碼,20260829,DB14086210,49,開立已確認,否,80331740,和德昌股份有限公司台北西湖分公司,台北市內湖區內湖路一段283號1樓,,1,49,49,*勁辣香雞翅
手機條碼,20260829,DB14086210,48,開立已確認,否,80331740,和德昌股份有限公司台北西湖分公司,台北市內湖區內湖路一段283號1樓,,1,48,48,四塊麥克雞塊
手機條碼,20260829,DB14086210,38,開立已確認,否,80331740,和德昌股份有限公司台北西湖分公司,台北市內湖區內湖路一段283號1樓,,1,38,38,可樂-中
手機條碼,20260829,CW60638471,10,開立已確認,否,54386207,統一超商股份有限公司台北市第七六三分公司,台北市內湖區環山路一段70號,,1,10,10,(A)*統一麥香奶茶TP300
手機條碼,20260829,CW60638471,10,開立已確認,否,54386207,統一超商股份有限公司台北市第七六三分公司,台北市內湖區環山路一段70號,,1,10,10,茶葉蛋
手機條碼,20260828,DE84530749,75,開立已確認,否,50646363,承恩飲品店,新北市新店區寶橋路45號,,1,75,75,珍珠伯爵紅茶拿鐵(L)
手機條碼,20260828,DE84530749,0,開立已確認,否,50646363,承恩飲品店,新北市新店區寶橋路45號,,1,0,0,微糖/微冰/
手機條碼,20260828,CV69310252,18,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,18,18,阿薩姆奶茶原味TP350
手機條碼,20260828,CR80596856,299,開立已確認,否,87356816,台灣迪卡儂有限公司新店營業所,新北市新店區寶興里中興路３段１號,,1,299,299,KNEE 120 DARK BLUE 4
手機條碼,20260827,CV69314768,18,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,18,18,阿薩姆奶茶原味TP350
手機條碼,20260827,CV69314768,79,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,79,79,極饗-四川風味麻辣豆腐飯
手機條碼,20260827,CV69310932,15,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,15,15,生活泡沫綠茶TP330
手機條碼,20260827,CV69309741,55,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,55,55,★新極上飯糰-鮭魚鮭魚卵
手機條碼,20260827,CV69309741,40,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,40,40,阿華田巧克力麥芽牛奶400ml
手機條碼,20260827,CV69309741,-20,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,-20,-20,8/19-9/29超值組合75元*2CD4*
手機條碼,20260826,DP75761894,60,開立已確認,否,88217659,元丹商行,台北市內湖區江南街126號,,1,60,60,濃煮拿鐵
手機條碼,20260826,CV69314191,18,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,18,18,波蜜果菜汁TP330
手機條碼,20260826,CV69314191,20,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,2,10,20,茶葉蛋
手機條碼,20260826,CV69314191,-3,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,-3,-3,波蜜果菜汁330單件15元*2BCE*
手機條碼,20260826,CV69309512,15,開立已確認,否,80339095,統一超商股份有限公司台北市第五二七分公司,台北市內湖區港墘路221巷41號1樓,,1,15,15,生活泡沫綠茶TP330
